0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,7,1
1,23,1
1,24,1
1,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
3,34,1
3,35,1
3,36,1
3,7,1
4,38,1
4,35,1
4,40,1
5,41,1
5,42,1
6,43,1
7,44,1
8,45,1
8,46,1
8,47,1
8,48,1
8,49,1
8,50,1
8,51,1
8,52,1
8,53,1
8,54,1
8,55,1
8,56,1
8,57,1
8,58,1
8,59,1
8,60,1
8,61,1
8,62,1
8,63,1
8,64,1
8,65,1
8,66,1
8,67,1
8,68,1
8,69,1
8,70,1
8,71,1
8,72,1
8,41,1
8,74,1
8,75,1
8,76,1
8,77,1
8,78,1
8,79,1
8,80,1
8,34,1
8,82,1
8,83,1
8,84,1
8,85,1
8,86,1
8,15,1
8,88,1
8,89,1
8,90,1
8,91,1
8,92,1
8,93,1
8,94,1
8,95,1
8,96,1
8,97,1
8,98,1
8,99,1
8,100,1
9,42,1
9,102,1
9,103,1
10,104,1
10,105,1
10,68,1
10,107,1
10,108,1
10,109,1
10,110,1
10,111,1
10,74,1
10,77,1
10,13,1
10,115,1
10,116,1
10,117,1
10,118,1
10,98,1
10,103,1
10,100,1
11,122,1
11,11,1
11,124,1
11,125,1
11,126,1
11,127,1
12,128,1
12,129,1
13,130,1
13,131,1
13,110,1
13,133,1
14,134,1
14,135,1
14,136,1
14,137,1
14,138,1
14,139,1
14,140,1
14,141,1
14,142,1
14,143,1
14,49,1
14,145,1
14,146,1
14,147,1
14,148,1
14,149,1
14,150,1
14,151,1
14,152,1
14,153,1
14,154,1
14,155,1
14,156,1
14,157,1
14,158,1
15,159,1
15,160,1
15,161,1
15,162,1
15,42,1
15,164,1
15,165,1
15,166,1
15,167,1
15,102,1
15,169,1
